terse_version_3;fio_version;jobname;groupid;error;read_kb;read_bandwidth_kb;read_iops;read_runtime_ms;read_slat_min_us;read_slat_max_us;read_slat_mean_us;read_slat_dev_us;read_clat_min_us;read_clat_max_us;read_clat_mean_us;read_clat_dev_us;read_clat_pct01;read_clat_pct02;read_clat_pct03;read_clat_pct04;read_clat_pct05;read_clat_pct06;read_clat_pct07;read_clat_pct08;read_clat_pct09;read_clat_pct10;read_clat_pct11;read_clat_pct12;read_clat_pct13;read_clat_pct14;read_clat_pct15;read_clat_pct16;read_clat_pct17;read_clat_pct18;read_clat_pct19;read_clat_pct20;read_tlat_min_us;read_lat_max_us;read_lat_mean_us;read_lat_dev_us;read_bw_min_kb;read_bw_max_kb;read_bw_agg_pct;read_bw_mean_kb;read_bw_dev_kb;write_kb;write_bandwidth_kb;write_iops;write_runtime_ms;write_slat_min_us;write_slat_max_us;write_slat_mean_us;write_slat_dev_us;write_clat_min_us;write_clat_max_us;write_clat_mean_us;write_clat_dev_us;write_clat_pct01;write_clat_pct02;write_clat_pct03;write_clat_pct04;write_clat_pct05;write_clat_pct06;write_clat_pct07;write_clat_pct08;write_clat_pct09;write_clat_pct10;write_clat_pct11;write_clat_pct12;write_clat_pct13;write_clat_pct14;write_clat_pct15;write_clat_pct16;write_clat_pct17;write_clat_pct18;write_clat_pct19;write_clat_pct20;write_tlat_min_us;write_lat_max_us;write_lat_mean_us;write_lat_dev_us;write_bw_min_kb;write_bw_max_kb;write_bw_agg_pct;write_bw_mean_kb;write_bw_dev_kb;cpu_user;cpu_sys;cpu_csw;cpu_mjf;cpu_minf;iodepth_1;iodepth_2;iodepth_4;iodepth_8;iodepth_16;iodepth_32;iodepth_64;lat_2us;lat_4us;lat_10us;lat_20us;lat_50us;lat_100us;lat_250us;lat_500us;lat_750us;lat_1000us;lat_2ms;lat_4ms;lat_10ms;lat_20ms;lat_50ms;lat_100ms;lat_250ms;lat_500ms;lat_750ms;lat_1000ms;lat_2000ms;lat_over_2000ms;disk_name;disk_read_iops;disk_write_iops;disk_read_merges;disk_write_merges;disk_read_ticks;write_ticks;disk_queue_time;disk_util
3;fio-3.25;read-job-4k-io1;0;0;524288;8732;2183;60040;2;19189;35.456123;131.978939;1;46435;417.733397;824.080628;1.000000%=111;5.000000%=134;10.000000%=162;20.000000%=197;30.000000%=218;40.000000%=236;50.000000%=257;60.000000%=272;70.000000%=288;80.000000%=305;90.000000%=391;95.000000%=1466;99.000000%=3817;99.500000%=4751;99.900000%=8978;99.950000%=11730;99.990000%=25821;0%=0;0%=0;0%=0;60;46463;453.742060;859.528706;648;20132;8.937703%;8585.110169;6211.014535;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;3.121304%;10.419894%;133284;0;15;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.01%;0.00%;0.00%;0.00%;0.00%;0.48%;45.77%;44.69%;0.79%;0.96%;3.70%;2.73%;0.79%;0.06%;0.02%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;1439179;1286;3826;1102;1666323;5573;1673134;99.75%
3;fio-3.25;read-job-4k-io2;0;0;524288;13263;3315;39528;1;25234;39.008075;220.279950;38;36339;561.490021;842.274504;1.000000%=115;5.000000%=138;10.000000%=164;20.000000%=211;30.000000%=230;40.000000%=250;50.000000%=272;60.000000%=305;70.000000%=362;80.000000%=929;90.000000%=1351;95.000000%=1712;99.000000%=3096;99.500000%=4423;99.900000%=11075;99.950000%=12779;99.990000%=23986;0%=0;0%=0;0%=0;65;42248;600.817083;904.051366;1960;31944;13.550864%;13016.282051;11312.105561;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;2.889164%;8.616895%;111554;0;14;0.1%;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.01%;0.27%;39.47%;34.16%;2.78%;4.99%;15.21%;2.54%;0.43%;0.12%;0.02%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;1439179;1286;3826;1102;1666323;5573;1673134;99.75%
3;fio-3.25;read-job-4k-io4;0;0;524288;17037;4259;30772;1;26004;54.204647;307.097028;57;33822;883.534839;1159.013148;1.000000%=118;5.000000%=146;10.000000%=193;20.000000%=232;30.000000%=264;40.000000%=313;50.000000%=464;60.000000%=872;70.000000%=1122;80.000000%=1384;90.000000%=1794;95.000000%=2342;99.000000%=4751;99.500000%=6193;99.900000%=13041;99.950000%=20578;99.990000%=27131;0%=0;0%=0;0%=0;66;45761;937.900521;1239.719861;3704;67025;17.383142%;16697.377049;17246.793853;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;2.375613%;5.781418%;116506;0;16;0.1%;0.1%;100.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.22%;25.75%;24.94%;5.31%;8.63%;27.68%;6.08%;1.12%;0.22%;0.06%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;1439179;1286;3826;1102;1666323;5573;1673134;99.75%
3;fio-3.25;read-job-4k-io8;0;0;524288;19142;4785;27389;1;22371;86.171937;393.898623;73;76330;1584.403687;1744.737325;1.000000%=152;5.000000%=226;10.000000%=280;20.000000%=395;30.000000%=765;40.000000%=1036;50.000000%=1253;60.000000%=1482;70.000000%=1810;80.000000%=2277;90.000000%=3096;95.000000%=3981;99.000000%=7372;99.500000%=10551;99.900000%=22937;99.950000%=25559;99.990000%=39059;0%=0;0%=0;0%=0;80;76339;1670.688552;1838.818726;5320;95961;18.768144%;18027.740741;15201.858848;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.774500%;4.910910%;109029;0;20;0.1%;0.1%;0.1%;100.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.02%;6.77%;17.32%;5.51%;8.78%;36.23%;20.47%;4.35%;0.42%;0.14%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;1439179;1286;3826;1102;1666323;5573;1673134;99.75%
3;fio-3.25;read-job-4k-io16;0;0;524288;20878;5219;25111;1;26695;169.815518;553.669000;183;70316;2894.340125;2525.003918;1.000000%=569;5.000000%=839;10.000000%=1056;20.000000%=1368;30.000000%=1712;40.000000%=2056;50.000000%=2408;60.000000%=2768;70.000000%=3227;80.000000%=3817;90.000000%=4947;95.000000%=6389;99.000000%=11599;99.500000%=15138;99.900000%=30015;99.950000%=39059;99.990000%=52690;0%=0;0%=0;0%=0;186;70356;3064.273616;2664.052681;7024;27424;21.702067%;20845.920000;4216.535399;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.589008%;3.604142%;60680;0;29;0.1%;0.1%;0.1%;0.1%;100.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.01%;0.52%;2.75%;5.49%;29.68%;43.87%;16.29%;1.03%;0.35%;0.02%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;1439179;1286;3826;1102;1666323;5573;1673134;99.75%
3;fio-3.25;read-job-4k-io32;0;0;524288;20362;5090;25748;1;36160;194.623662;577.211380;215;82293;6089.540997;4017.430173;1.000000%=1843;5.000000%=2703;10.000000%=3194;20.000000%=3817;30.000000%=4358;40.000000%=4816;50.000000%=5275;60.000000%=5799;70.000000%=6520;80.000000%=7438;90.000000%=9371;95.000000%=11468;99.000000%=23199;99.500000%=30277;99.900000%=50593;99.950000%=57409;99.990000%=70778;0%=0;0%=0;0%=0;222;85261;6284.286935;4136.374178;7104;26144;21.107576%;20274.882353;4295.644644;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.231211%;3.130462%;46320;0;45;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.01%;0.06%;0.06%;0.06%;1.18%;21.85%;68.75%;6.82%;1.10%;0.11%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;1439179;1286;3826;1102;1666323;5573;1673134;99.75%
3;fio-3.25;read-job-4k-io64;0;0;524288;20252;5063;25888;1;30441;195.741702;571.714595;1102;127114;12433.142070;6892.750896;1.000000%=5079;5.000000%=6914;10.000000%=7700;20.000000%=8716;30.000000%=9633;40.000000%=10420;50.000000%=11206;60.000000%=12124;70.000000%=13172;80.000000%=14614;90.000000%=16908;95.000000%=20054;99.000000%=40108;99.500000%=56885;99.900000%=94896;99.950000%=107479;99.990000%=120061;0%=0;0%=0;0%=0;1104;128563;12629.006517;6990.430364;7544;24096;20.865436%;20042.294118;4077.300824;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.019817%;3.403253%;44300;0;76;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.03%;0.29%;34.65%;59.89%;4.49%;0.58%;0.08%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;1439179;1286;3826;1102;1666323;5573;1673134;99.75%
3;fio-3.25;read-job-4k-io128;0;0;524288;20156;5039;26011;1;26535;196.698407;569.258262;1271;169374;25181.669500;12336.967897;1.000000%=2703;5.000000%=15007;10.000000%=16908;20.000000%=19005;30.000000%=20316;40.000000%=21626;50.000000%=23199;60.000000%=24510;70.000000%=26083;80.000000%=28442;90.000000%=33816;95.000000%=43778;99.000000%=73924;99.500000%=105381;99.900000%=145752;99.950000%=152043;99.990000%=164626;0%=0;0%=0;0%=0;1273;181967;25378.490361;12425.860043;8040;28796;20.402772%;19597.882353;4248.889952;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.049596%;3.521722%;42774;0;142;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.29%;1.10%;1.05%;24.49%;69.53%;2.99%;0.55%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;1439179;1286;3826;1102;1666323;5573;1673134;99.75%
3;fio-3.25;read-job-4k-io256;0;0;524288;20182;5045;25978;1;27748;196.388508;575.550581;1499;343193;50420.321289;22161.845502;1.000000%=16187;5.000000%=33816;10.000000%=36962;20.000000%=40108;30.000000%=42205;40.000000%=44302;50.000000%=46399;60.000000%=48496;70.000000%=51642;80.000000%=54788;90.000000%=62128;95.000000%=83361;99.000000%=132644;99.500000%=196083;99.900000%=291504;99.950000%=304087;99.990000%=329252;0%=0;0%=0;0%=0;1501;344692;50616.830801;22235.564947;8112;27495;20.645892%;19831.411765;4276.683071;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.093275%;3.318320%;45676;0;267;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.01%;0.04%;0.33%;1.06%;63.59%;32.16%;2.56%;0.25%;0.00%;0.00%;0.00%;0.00%;sda;1439179;1286;3826;1102;1666323;5573;1673134;99.75%
3;fio-3.25;read-job-4k-io512;0;0;524288;20304;5076;25821;1;25699;195.130190;570.221864;1679;460252;100259.936044;36396.528427;1.000000%=60030;5.000000%=71827;10.000000%=78118;20.000000%=83361;30.000000%=87556;40.000000%=89653;50.000000%=92798;60.000000%=95944;70.000000%=99090;80.000000%=105381;90.000000%=119013;95.000000%=164626;99.000000%=221249;99.500000%=354418;99.900000%=450887;99.950000%=455081;99.990000%=459276;0%=0;0%=0;0%=0;1680;461287;100455.193149;36450.567708;7672;28362;20.908344%;20083.509804;4340.875747;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.045701%;3.384973%;47346;0;524;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.01%;0.01%;0.05%;0.06%;0.25%;70.80%;27.97%;0.85%;0.00%;0.00%;0.00%;0.00%;sda;1439179;1286;3826;1102;1666323;5573;1673134;99.75%
