terse_version_3;fio_version;jobname;groupid;error;read_kb;read_bandwidth_kb;read_iops;read_runtime_ms;read_slat_min_us;read_slat_max_us;read_slat_mean_us;read_slat_dev_us;read_clat_min_us;read_clat_max_us;read_clat_mean_us;read_clat_dev_us;read_clat_pct01;read_clat_pct02;read_clat_pct03;read_clat_pct04;read_clat_pct05;read_clat_pct06;read_clat_pct07;read_clat_pct08;read_clat_pct09;read_clat_pct10;read_clat_pct11;read_clat_pct12;read_clat_pct13;read_clat_pct14;read_clat_pct15;read_clat_pct16;read_clat_pct17;read_clat_pct18;read_clat_pct19;read_clat_pct20;read_tlat_min_us;read_lat_max_us;read_lat_mean_us;read_lat_dev_us;read_bw_min_kb;read_bw_max_kb;read_bw_agg_pct;read_bw_mean_kb;read_bw_dev_kb;write_kb;write_bandwidth_kb;write_iops;write_runtime_ms;write_slat_min_us;write_slat_max_us;write_slat_mean_us;write_slat_dev_us;write_clat_min_us;write_clat_max_us;write_clat_mean_us;write_clat_dev_us;write_clat_pct01;write_clat_pct02;write_clat_pct03;write_clat_pct04;write_clat_pct05;write_clat_pct06;write_clat_pct07;write_clat_pct08;write_clat_pct09;write_clat_pct10;write_clat_pct11;write_clat_pct12;write_clat_pct13;write_clat_pct14;write_clat_pct15;write_clat_pct16;write_clat_pct17;write_clat_pct18;write_clat_pct19;write_clat_pct20;write_tlat_min_us;write_lat_max_us;write_lat_mean_us;write_lat_dev_us;write_bw_min_kb;write_bw_max_kb;write_bw_agg_pct;write_bw_mean_kb;write_bw_dev_kb;cpu_user;cpu_sys;cpu_csw;cpu_mjf;cpu_minf;iodepth_1;iodepth_2;iodepth_4;iodepth_8;iodepth_16;iodepth_32;iodepth_64;lat_2us;lat_4us;lat_10us;lat_20us;lat_50us;lat_100us;lat_250us;lat_500us;lat_750us;lat_1000us;lat_2ms;lat_4ms;lat_10ms;lat_20ms;lat_50ms;lat_100ms;lat_250ms;lat_500ms;lat_750ms;lat_1000ms;lat_2000ms;lat_over_2000ms;disk_name;disk_read_iops;disk_write_iops;disk_read_merges;disk_write_merges;disk_read_ticks;write_ticks;disk_queue_time;disk_util
3;fio-3.25;rw-job-32k-io1;0;0;261120;6132;191;42578;5;39048;63.709437;736.657802;1;731213;2808.649491;9030.235394;1.000000%=150;5.000000%=191;10.000000%=246;20.000000%=288;30.000000%=382;40.000000%=536;50.000000%=888;60.000000%=1728;70.000000%=2637;80.000000%=4685;90.000000%=7438;95.000000%=10813;99.000000%=19267;99.500000%=22675;99.900000%=34340;99.950000%=38535;99.990000%=734003;0%=0;0%=0;0%=0;109;731324;2872.607248;9097.857247;384;41408;8.174964%;5525.457831;9038.216996;263168;6180;193;42578;5;14711;66.420721;568.235258;63;353416;2254.680133;7384.074413;1.000000%=78;5.000000%=80;10.000000%=80;20.000000%=92;30.000000%=108;40.000000%=109;50.000000%=113;60.000000%=138;70.000000%=236;80.000000%=1351;90.000000%=5537;95.000000%=15794;99.000000%=28966;99.500000%=34865;99.900000%=56885;99.950000%=58982;99.990000%=354418;0%=0;0%=0;0%=0;84;353465;2321.336642;7556.823619;192;39360;8.184867%;5554.168675;8929.782252;0.441553%;1.305869%;16755;0;18;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.01%;0.00%;0.01%;0.00%;0.00%;10.31%;30.18%;16.36%;5.43%;3.06%;6.43%;11.13%;10.22%;4.85%;1.92%;0.06%;0.02%;0.01%;0.01%;0.00%;0.00%;0.00%;sda;96010;89947;552;575;650201;756084;1408866;99.96%
3;fio-3.25;rw-job-32k-io2;0;0;260032;7716;241;33700;3;19349;92.356064;718.558272;39;731416;4206.795058;9772.333507;1.000000%=205;5.000000%=280;10.000000%=317;20.000000%=428;30.000000%=634;40.000000%=1044;50.000000%=1875;60.000000%=3325;70.000000%=5210;80.000000%=7045;90.000000%=10813;95.000000%=14745;99.000000%=22413;99.500000%=25559;99.900000%=40108;99.950000%=46399;99.990000%=734003;0%=0;0%=0;0%=0;136;731438;4299.425861;9844.622609;640;78813;11.460365%;7746.060606;14215.768653;264256;7841;245;33700;5;730293;259.240157;8928.385568;77;354264;3650.806465;8421.047604;1.000000%=79;5.000000%=80;10.000000%=81;20.000000%=107;30.000000%=122;40.000000%=140;50.000000%=191;60.000000%=325;70.000000%=1204;80.000000%=5406;90.000000%=13697;95.000000%=19791;99.000000%=33423;99.500000%=39059;99.900000%=57409;99.950000%=76021;99.990000%=354418;0%=0;0%=0;0%=0;84;748940;3910.334806;12546.860062;320;75799;11.560982%;7845.166667;13977.906355;0.516336%;1.697380%;16413;0;17;0.1%;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.01%;9.44%;19.86%;15.69%;5.64%;3.56%;7.41%;8.94%;16.99%;9.14%;3.19%;0.10%;0.02%;0.01%;0.01%;0.00%;0.00%;0.00%;sda;96010;89947;552;575;650201;756084;1408866;99.96%
3;fio-3.25;rw-job-32k-io4;0;0;259904;8487;265;30622;2;341373;291.514758;4003.145148;35;734751;7550.741153;12730.477160;1.000000%=428;5.000000%=749;10.000000%=2088;20.000000%=3457;30.000000%=4292;40.000000%=5210;50.000000%=6062;60.000000%=7045;70.000000%=8454;80.000000%=10551;90.000000%=14483;95.000000%=17694;99.000000%=25821;99.500000%=28966;99.900000%=43253;99.950000%=99090;99.990000%=734003;0%=0;0%=0;0%=0;237;734767;7842.682535;13428.788938;1152;25792;12.780466%;8638.316667;6183.098355;264384;8633;269;30622;3;729717;356.373415;8126.784512;68;744497;6722.758441;13592.758585;1.000000%=81;5.000000%=126;10.000000%=166;20.000000%=246;30.000000%=362;40.000000%=1351;50.000000%=3457;60.000000%=5472;70.000000%=8028;80.000000%=11730;90.000000%=17432;95.000000%=22937;99.000000%=37486;99.500000%=44826;99.900000%=103284;99.950000%=130547;99.990000%=742391;0%=0;0%=0;0%=0;84;753919;7079.569474;16045.555064;1280;26560;12.960059%;8794.566667;6129.040679;0.780510%;2.645243%;15135;0;18;0.1%;0.1%;100.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.01%;0.95%;9.45%;7.84%;2.92%;1.39%;3.40%;13.78%;36.86%;18.30%;4.91%;0.13%;0.04%;0.02%;0.02%;0.00%;0.00%;0.00%;sda;96010;89947;552;575;650201;756084;1408866;99.96%
3;fio-3.25;rw-job-32k-io8;0;0;262016;11227;350;23337;2;731126;687.044762;8370.097223;311;737204;10252.754685;18059.595949;1.000000%=1056;5.000000%=2408;10.000000%=3391;20.000000%=4620;30.000000%=5734;40.000000%=6848;50.000000%=8093;60.000000%=9502;70.000000%=11337;80.000000%=14090;90.000000%=18481;95.000000%=22413;99.000000%=34340;99.500000%=42205;99.900000%=109576;99.950000%=371195;99.990000%=734003;0%=0;0%=0;0%=0;326;753580;10940.328941;20003.739659;2112;28800;16.607026%;11224.688889;4535.639410;262272;11238;351;23337;3;336700;676.483370;4249.001484;79;740977;11107.632440;19300.642592;1.000000%=158;5.000000%=423;10.000000%=798;20.000000%=3227;30.000000%=5079;40.000000%=6979;50.000000%=8716;60.000000%=10813;70.000000%=13172;80.000000%=16449;90.000000%=21626;95.000000%=26869;99.000000%=41156;99.500000%=53215;99.900000%=350224;99.950000%=371195;99.990000%=742391;0%=0;0%=0;0%=0;87;741706;11784.663421;19915.598791;2368;27456;16.580982%;11251.688889;4566.907701;0.955605%;3.646726%;11939;0;18;0.1%;0.1%;0.1%;100.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.07%;1.23%;1.86%;1.78%;1.11%;3.27%;9.94%;40.31%;30.40%;9.55%;0.32%;0.08%;0.04%;0.04%;0.00%;0.00%;0.00%;sda;96010;89947;552;575;650201;756084;1408866;99.96%
3;fio-3.25;rw-job-32k-io16;0;0;263360;13264;414;19854;2;732297;1119.546565;8548.126622;827;757215;17381.970176;29104.928597;1.000000%=2867;5.000000%=4423;10.000000%=5603;20.000000%=7897;30.000000%=9895;40.000000%=11862;50.000000%=13828;60.000000%=16056;70.000000%=18743;80.000000%=22413;90.000000%=28966;95.000000%=35389;99.000000%=58982;99.500000%=100139;99.900000%=396361;99.950000%=742391;99.990000%=759169;0%=0;0%=0;0%=0;836;757237;18502.051427;30445.489313;3008;20992;20.310346%;13727.763158;3940.734308;260928;13142;410;19854;2;83001;1080.988549;2750.048873;696;762608;19079.043260;25305.200494;1.000000%=2572;5.000000%=4882;10.000000%=6782;20.000000%=9371;30.000000%=11468;40.000000%=13697;50.000000%=16056;60.000000%=18481;70.000000%=21364;80.000000%=25296;90.000000%=32112;95.000000%=39583;99.000000%=60555;99.500000%=80216;99.900000%=341835;99.950000%=750780;99.990000%=759169;0%=0;0%=0;0%=0;701;762626;20160.573157;25566.445012;1984;19776;20.006577%;13576.263158;3935.887006;1.072886%;3.183398%;6141;0;16;0.1%;0.1%;0.1%;0.1%;99.9%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.01%;0.02%;0.38%;3.00%;23.03%;43.01%;28.95%;1.20%;0.21%;0.10%;0.04%;0.05%;0.00%;0.00%;sda;96010;89947;552;575;650201;756084;1408866;99.96%
3;fio-3.25;rw-job-32k-io32;0;0;266016;13593;424;19570;2;37687;1076.875225;2558.257617;2645;778485;35730.294989;41556.662748;1.000000%=9240;5.000000%=13434;10.000000%=16187;20.000000%=20054;30.000000%=23199;40.000000%=26345;50.000000%=29491;60.000000%=33816;70.000000%=38535;80.000000%=45350;90.000000%=55312;95.000000%=65798;99.000000%=98041;99.500000%=143654;99.900000%=767557;99.950000%=767557;99.990000%=775946;0%=0;0%=0;0%=0;2662;787663;36807.688138;41828.917638;2240;24064;20.641756%;13951.763158;4635.459413;258272;13197;412;19570;2;730137;1287.776866;9533.170899;2869;782631;37941.917371;38075.109142;1.000000%=10682;5.000000%=15269;10.000000%=18219;20.000000%=22151;30.000000%=25559;40.000000%=28704;50.000000%=32374;60.000000%=36438;70.000000%=41680;80.000000%=48496;90.000000%=58982;95.000000%=68681;99.000000%=99090;99.500000%=147849;99.900000%=767557;99.950000%=775946;99.990000%=784334;0%=0;0%=0;0%=0;2895;785820;39230.249895;39372.211449;2176;22656;19.971636%;13552.552632;4426.384240;0.843170%;3.045633%;4625;0;17;0.1%;0.1%;0.1%;0.1%;0.1%;99.8%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.08%;1.01%;15.72%;67.11%;15.11%;0.59%;0.19%;0.00%;0.19%;0.00%;0.00%;sda;96010;89947;552;575;650201;756084;1408866;99.96%
3;fio-3.25;rw-job-32k-io64;0;0;261696;12943;404;20218;2;338495;1200.326993;4853.657563;14337;813405;76486.357734;61656.026769;1.000000%=32112;5.000000%=40108;10.000000%=45350;20.000000%=50593;30.000000%=55836;40.000000%=60030;50.000000%=65273;60.000000%=70778;70.000000%=80216;80.000000%=90701;90.000000%=108527;95.000000%=126353;99.000000%=191889;99.500000%=488636;99.900000%=792723;99.950000%=801112;99.990000%=809500;0%=0;0%=0;0%=0;14345;814690;77687.196931;61999.048301;2496;19520;19.575495%;13231.076923;3936.140291;262592;12988;405;20218;3;726380;1244.491944;8472.442943;14359;830585;78173.797104;53501.733559;1.000000%=33816;5.000000%=42205;10.000000%=46923;20.000000%=52690;30.000000%=57409;40.000000%=62652;50.000000%=67633;60.000000%=74973;70.000000%=84410;80.000000%=94896;90.000000%=112721;95.000000%=130547;99.000000%=185597;99.500000%=476053;99.900000%=801112;99.950000%=809500;99.990000%=834666;0%=0;0%=0;0%=0;14368;830604;79418.821093;54285.564287;2048;20096;19.580344%;13287.025641;3869.236723;0.870554%;2.928229%;4736;0;14;0.1%;0.1%;0.1%;0.1%;0.1%;0.2%;99.6%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.10%;16.66%;67.95%;14.52%;0.38%;0.01%;0.38%;0.00%;0.00%;sda;96010;89947;552;575;650201;756084;1408866;99.96%
3;fio-3.25;rw-job-32k-io128;0;0;261056;12791;399;20408;2;342108;1188.452643;4696.526572;16053;950806;155328.635659;89887.525568;1.000000%=81264;5.000000%=90701;10.000000%=96993;20.000000%=106430;30.000000%=114819;40.000000%=123207;50.000000%=135266;60.000000%=152043;70.000000%=168820;80.000000%=185597;90.000000%=210763;95.000000%=261095;99.000000%=549453;99.500000%=918552;99.900000%=935329;99.950000%=935329;99.990000%=952107;0%=0;0%=0;0%=0;16078;950819;156517.620889;90198.949907;2688;19776;19.250913%;13011.692308;3893.692106;263232;12898;403;20408;3;730623;1278.314562;8633.577347;15879;953982;158941.316881;89696.025281;1.000000%=82313;5.000000%=93847;10.000000%=99090;20.000000%=109576;30.000000%=117964;40.000000%=126353;50.000000%=137363;60.000000%=156237;70.000000%=173015;80.000000%=189792;90.000000%=217055;95.000000%=267386;99.000000%=549453;99.500000%=918552;99.900000%=935329;99.950000%=952107;99.990000%=952107;0%=0;0%=0;0%=0;15942;954016;160220.171864;90300.299875;2688;20416;19.469632%;13211.897436;3809.642667;1.117264%;2.709854%;4690;0;14;0.1%;0.1%;0.1%;0.1%;0.1%;0.2%;99.6%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.04%;0.05%;11.83%;82.37%;4.14%;0.78%;0.78%;0.00%;0.00%;sda;96010;89947;552;575;650201;756084;1408866;99.96%
3;fio-3.25;rw-job-32k-io256;0;0;257312;12506;390;20574;2;728024;1258.235925;8669.000911;31958;1199701;315319.006012;140590.316841;1.000000%=154140;5.000000%=191889;10.000000%=204472;20.000000%=225443;30.000000%=242221;40.000000%=261095;50.000000%=287309;60.000000%=316669;70.000000%=341835;80.000000%=367001;90.000000%=429916;95.000000%=505413;99.000000%=1069547;99.500000%=1115684;99.900000%=1182793;99.950000%=1182793;99.990000%=1199570;0%=0;0%=0;0%=0;31963;1207464;316577.779573;141055.281024;1984;20736;18.681530%;12626.846154;3936.020155;266976;12976;405;20574;3;331517;1227.952580;4625.565992;31949;1199081;319078.610198;141325.114101;1.000000%=158334;5.000000%=191889;10.000000%=206569;20.000000%=227540;30.000000%=244318;40.000000%=265289;50.000000%=291504;60.000000%=320864;70.000000%=346030;80.000000%=371195;90.000000%=434110;95.000000%=501219;99.000000%=1061158;99.500000%=1098907;99.900000%=1182793;99.950000%=1182793;99.990000%=1199570;0%=0;0%=0;0%=0;31956;1206437;320307.086124;141619.021576;1664;20288;19.262528%;13071.358974;3820.084075;0.758275%;3.047684%;4748;0;14;0.1%;0.1%;0.1%;0.1%;0.1%;0.2%;99.6%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.16%;0.46%;33.08%;61.14%;2.60%;1.00%;1.56%;0.00%;sda;96010;89947;552;575;650201;756084;1408866;99.96%
3;fio-3.25;rw-job-32k-io512;0;0;264288;12843;401;20578;2;337114;1198.357514;4647.411430;20668;1490053;630689.433946;227668.233668;1.000000%=109576;5.000000%=417333;10.000000%=442499;20.000000%=467664;30.000000%=505413;40.000000%=549453;50.000000%=583008;60.000000%=633339;70.000000%=675282;80.000000%=759169;90.000000%=843055;95.000000%=1115684;99.000000%=1451229;99.500000%=1468006;99.900000%=1484783;99.950000%=1484783;99.990000%=1484783;0%=0;0%=0;0%=0;20671;1491833;631888.329154;227942.125455;2496;19264;19.334259%;13068.025641;3513.811310;260000;12634;394;20578;3;729248;1288.106092;8662.595244;20678;1505326;633551.511739;216541.009279;1.000000%=166723;5.000000%=421527;10.000000%=446693;20.000000%=471859;30.000000%=509607;40.000000%=557842;50.000000%=591396;60.000000%=641728;70.000000%=683671;80.000000%=767557;90.000000%=843055;95.000000%=1098907;99.000000%=1451229;99.500000%=1468006;99.900000%=1484783;99.950000%=1501560;99.990000%=1501560;0%=0;0%=0;0%=0;20688;1505366;634840.209896;216881.809991;2880;20544;19.069443%;12940.333333;3519.675421;0.762988%;2.979054%;4981;0;14;0.1%;0.1%;0.1%;0.1%;0.1%;0.2%;99.6%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.30%;0.45%;1.17%;25.90%;50.67%;15.27%;6.24%;0.00%;sda;96010;89947;552;575;650201;756084;1408866;99.96%
