terse_version_3;fio_version;jobname;groupid;error;read_kb;read_bandwidth_kb;read_iops;read_runtime_ms;read_slat_min_us;read_slat_max_us;read_slat_mean_us;read_slat_dev_us;read_clat_min_us;read_clat_max_us;read_clat_mean_us;read_clat_dev_us;read_clat_pct01;read_clat_pct02;read_clat_pct03;read_clat_pct04;read_clat_pct05;read_clat_pct06;read_clat_pct07;read_clat_pct08;read_clat_pct09;read_clat_pct10;read_clat_pct11;read_clat_pct12;read_clat_pct13;read_clat_pct14;read_clat_pct15;read_clat_pct16;read_clat_pct17;read_clat_pct18;read_clat_pct19;read_clat_pct20;read_tlat_min_us;read_lat_max_us;read_lat_mean_us;read_lat_dev_us;read_bw_min_kb;read_bw_max_kb;read_bw_agg_pct;read_bw_mean_kb;read_bw_dev_kb;write_kb;write_bandwidth_kb;write_iops;write_runtime_ms;write_slat_min_us;write_slat_max_us;write_slat_mean_us;write_slat_dev_us;write_clat_min_us;write_clat_max_us;write_clat_mean_us;write_clat_dev_us;write_clat_pct01;write_clat_pct02;write_clat_pct03;write_clat_pct04;write_clat_pct05;write_clat_pct06;write_clat_pct07;write_clat_pct08;write_clat_pct09;write_clat_pct10;write_clat_pct11;write_clat_pct12;write_clat_pct13;write_clat_pct14;write_clat_pct15;write_clat_pct16;write_clat_pct17;write_clat_pct18;write_clat_pct19;write_clat_pct20;write_tlat_min_us;write_lat_max_us;write_lat_mean_us;write_lat_dev_us;write_bw_min_kb;write_bw_max_kb;write_bw_agg_pct;write_bw_mean_kb;write_bw_dev_kb;cpu_user;cpu_sys;cpu_csw;cpu_mjf;cpu_minf;iodepth_1;iodepth_2;iodepth_4;iodepth_8;iodepth_16;iodepth_32;iodepth_64;lat_2us;lat_4us;lat_10us;lat_20us;lat_50us;lat_100us;lat_250us;lat_500us;lat_750us;lat_1000us;lat_2ms;lat_4ms;lat_10ms;lat_20ms;lat_50ms;lat_100ms;lat_250ms;lat_500ms;lat_750ms;lat_1000ms;lat_2000ms;lat_over_2000ms;disk_name;disk_read_iops;disk_write_iops;disk_read_merges;disk_write_merges;disk_read_ticks;write_ticks;disk_queue_time;disk_util
3;fio-3.25;write-job-4k-io1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;524288;2764;691;189684;4;3548578;155.720111;11523.523148;6;2609782;1285.023244;14637.531153;1.000000%=138;5.000000%=191;10.000000%=214;20.000000%=242;30.000000%=259;40.000000%=276;50.000000%=305;60.000000%=333;70.000000%=358;80.000000%=544;90.000000%=1892;95.000000%=6258;99.000000%=16449;99.500000%=20578;99.900000%=36438;99.950000%=43778;99.990000%=278921;0%=0;0%=0;0%=0;44;3591469;1441.384981;18925.309061;8;11816;9.935226%;3020.706052;3955.849306;1.312716%;6.045349%;133362;0;12;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.01%;0.00%;0.01%;0.03%;24.12%;54.77%;4.08%;2.26%;5.25%;3.16%;3.24%;2.50%;0.53%;0.02%;0.01%;0.01%;0.01%;0.01%;0.01%;0.01%;sda;11389;1442261;260;82039;79682;6886073;6993972;98.64%
3;fio-3.25;write-job-4k-io2;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;524288;3263;815;160629;3;2126583;168.936112;6742.813082;36;3589451;2276.907443;25487.268278;1.000000%=138;5.000000%=185;10.000000%=220;20.000000%=261;30.000000%=292;40.000000%=333;50.000000%=374;60.000000%=477;70.000000%=913;80.000000%=2113;90.000000%=5799;95.000000%=9764;99.000000%=19005;99.500000%=24510;99.900000%=42729;99.950000%=60030;99.990000%=1367343;0%=0;0%=0;0%=0;45;3589508;2446.355360;26433.994477;24;19536;11.781081%;3581.919861;5407.768534;1.097567%;5.546356%;103366;0;14;0.1%;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.02%;0.06%;16.74%;44.37%;6.49%;3.45%;8.12%;7.22%;8.78%;3.90%;0.80%;0.03%;0.01%;0.01%;0.01%;0.01%;0.01%;0.01%;sda;11389;1442261;260;82039;79682;6886073;6993972;98.64%
3;fio-3.25;write-job-4k-io4;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;524288;3701;925;141651;3;3571730;330.185877;14710.888697;37;3947751;3988.666569;34368.141106;1.000000%=144;5.000000%=199;10.000000%=244;20.000000%=317;30.000000%=403;40.000000%=610;50.000000%=1204;60.000000%=2342;70.000000%=3719;80.000000%=5603;90.000000%=8716;95.000000%=11993;99.000000%=22675;99.500000%=29491;99.900000%=57933;99.950000%=325058;99.990000%=1602224;0%=0;0%=0;0%=0;45;3947791;4319.280341;37760.572411;48;29744;13.786331%;4191.596000;6440.809920;1.020120%;4.952347%;88515;0;15;0.1%;0.1%;100.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.01%;0.11%;10.50%;25.48%;7.13%;4.03%;9.97%;14.36%;20.84%;6.17%;1.27%;0.04%;0.03%;0.01%;0.01%;0.01%;0.03%;0.01%;sda;11389;1442261;260;82039;79682;6886073;6993972;98.64%
3;fio-3.25;write-job-4k-io8;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;524288;4176;1044;125538;3;3542474;536.782339;15847.748620;41;3934491;7122.077228;49034.676892;1.000000%=207;5.000000%=358;10.000000%=593;20.000000%=1794;30.000000%=2834;40.000000%=3686;50.000000%=4554;60.000000%=5537;70.000000%=6782;80.000000%=8454;90.000000%=11599;95.000000%=15269;99.000000%=27656;99.500000%=35913;99.900000%=240123;99.950000%=1216348;99.990000%=2566914;0%=0;0%=0;0%=0;46;3944980;7659.257005;51885.248340;208;34544;15.410152%;4685.302752;4795.553226;1.000502%;4.434549%;69178;0;15;0.1%;0.1%;0.1%;100.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.01%;0.04%;1.83%;6.60%;3.58%;2.38%;7.06%;21.70%;42.74%;11.68%;2.17%;0.07%;0.05%;0.02%;0.01%;0.01%;0.05%;0.02%;sda;11389;1442261;260;82039;79682;6886073;6993972;98.64%
3;fio-3.25;write-job-4k-io16;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;524288;4747;1186;110445;2;3542655;742.561352;17022.048819;65;3979228;12734.698612;72499.242067;1.000000%=1794;5.000000%=2932;10.000000%=3719;20.000000%=4947;30.000000%=6062;40.000000%=7176;50.000000%=8355;60.000000%=9633;70.000000%=11206;80.000000%=13303;90.000000%=17432;95.000000%=22937;99.000000%=40632;99.500000%=52166;99.900000%=1233125;99.950000%=1635778;99.990000%=3573547;0%=0;0%=0;0%=0;75;3979276;13477.668613;74728.803737;16;11032;18.033482%;5482.900000;2210.700027;0.876462%;4.441165%;41185;0;14;0.1%;0.1%;0.1%;0.1%;100.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.01%;0.01%;0.02%;0.05%;0.09%;1.33%;10.54%;50.66%;30.45%;6.32%;0.30%;0.08%;0.02%;0.01%;0.01%;0.10%;0.04%;sda;11389;1442261;260;82039;79682;6886073;6993972;98.64%
3;fio-3.25;write-job-4k-io32;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;524288;5068;1267;103444;3;3546523;782.843331;17792.675532;709;4014900;24469.036937;104182.006967;1.000000%=4947;5.000000%=7438;10.000000%=9109;20.000000%=11337;30.000000%=13172;40.000000%=14876;50.000000%=16580;60.000000%=18219;70.000000%=20578;80.000000%=23461;90.000000%=29491;95.000000%=42729;99.000000%=76021;99.500000%=119013;99.900000%=1719664;99.950000%=2231369;99.990000%=4009754;0%=0;0%=0;0%=0;738;4014941;25252.280638;105963.861026;40;9136;19.630199%;5968.365714;2295.622992;0.896146%;4.418859%;32301;0;13;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.01%;0.00%;0.01%;0.40%;13.28%;54.41%;28.46%;2.83%;0.22%;0.08%;0.00%;0.00%;0.24%;0.07%;sda;11389;1442261;260;82039;79682;6886073;6993972;98.64%
3;fio-3.25;write-job-4k-io64;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;524288;5031;1257;104199;2;3938430;789.036095;18559.257093;8377;4110928;50084.773420;153420.974032;1.000000%=15925;5.000000%=20578;10.000000%=23199;20.000000%=26607;30.000000%=29229;40.000000%=31588;50.000000%=33816;60.000000%=36438;70.000000%=40108;80.000000%=44302;90.000000%=56360;95.000000%=87556;99.000000%=162529;99.500000%=1233125;99.900000%=2298478;99.950000%=2667577;99.990000%=4110417;0%=0;0%=0;0%=0;8391;4110949;50874.217769;154692.459098;48;9408;19.354343%;5884.494382;2294.436982;0.992342%;4.354210%;32399;0;11;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.03%;4.07%;82.71%;9.88%;2.56%;0.08%;0.04%;0.00%;0.48%;0.14%;sda;11389;1442261;260;82039;79682;6886073;6993972;98.64%
3;fio-3.25;write-job-4k-io128;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;524288;5003;1250;104784;2;3575432;793.404846;17814.294692;26454;4165238;101514.558114;227919.357941;1.000000%=40632;5.000000%=48496;10.000000%=52690;20.000000%=57933;30.000000%=61603;40.000000%=65273;50.000000%=68681;60.000000%=72876;70.000000%=77070;80.000000%=85458;90.000000%=119013;95.000000%=181403;99.000000%=1249902;99.500000%=1753219;99.900000%=3472883;99.950000%=4110417;99.990000%=4143972;0%=0;0%=0;0%=0;26480;4181974;102308.366519;228910.613346;8;9592;19.106952%;5809.277778;2344.475630;0.877051%;4.391934%;32326;0;12;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;6.36%;81.00%;10.57%;0.77%;0.11%;0.00%;0.80%;0.40%;sda;11389;1442261;260;82039;79682;6886073;6993972;98.64%
3;fio-3.25;write-job-4k-io256;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;524288;5020;1255;104426;2;3548426;790.568670;17772.806182;33649;4461018;203070.273043;331585.973998;1.000000%=93847;5.000000%=105381;10.000000%=111673;20.000000%=120061;30.000000%=126353;40.000000%=132644;50.000000%=139460;60.000000%=145752;70.000000%=154140;80.000000%=168820;90.000000%=267386;95.000000%=362807;99.000000%=1937768;99.500000%=2801795;99.900000%=4278190;99.950000%=4328521;99.990000%=4462739;0%=0;0%=0;0%=0;33654;4465396;203861.251376;332303.656087;16;9344;19.294475%;5866.292135;2316.017965;0.890591%;4.412736%;32317;0;10;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.01%;2.58%;86.52%;8.04%;0.45%;0.03%;1.40%;0.97%;sda;11389;1442261;260;82039;79682;6886073;6993972;98.64%
3;fio-3.25;write-job-4k-io512;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;524288;5023;1255;104372;2;3558257;790.303955;17804.025682;10299;4936833;406465.050069;482853.063285;1.000000%=202375;5.000000%=223346;10.000000%=238026;20.000000%=250609;30.000000%=258998;40.000000%=267386;50.000000%=278921;60.000000%=295698;70.000000%=316669;80.000000%=367001;90.000000%=557842;95.000000%=767557;99.000000%=2936012;99.500000%=3942645;99.900000%=4798283;99.950000%=4932501;99.990000%=4932501;0%=0;0%=0;0%=0;10302;4938692;407255.763269;483364.638883;72;10072;19.268015%;5858.247191;2291.364912;0.977283%;4.334537%;32360;0;12;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.01%;0.02%;0.05%;19.82%;67.78%;7.28%;0.30%;2.49%;2.27%;sda;11389;1442261;260;82039;79682;6886073;6993972;98.64%
